GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A1W2PRV1	TAF11L3	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A2R8Y4L2	HNRNPA1L3	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A3B3IS91	POLGARF	located_in	GO:0005730	nucleolus	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0188	9606	UniProt		C
UniProtKB	A0A3B3IS91	POLGARF	located_in	GO:0005730	nucleolus	ECO:0000314	IDA	PMID:32958672		9606	UniProt		C
UniProtKB	A0A6I8PU40	TUG1	located_in	GO:0031965	nuclear membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0182	9606	UniProt		C
UniProtKB	A0AVK6	E2F8	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0AVK6	E2F8	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-6798347		9606	Reactome		C
UniProtKB	A0AVK6	E2F8	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-8953013		9606	Reactome		C
UniProtKB	A0AVK6	E2F8	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-8953037		9606	Reactome		C
UniProtKB	A0AVK6	E2F8	located_in	GO:0005730	nucleolus	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0AVT1	UBA6	involved_in	GO:0006974	DNA damage response	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000102404|UniProtKB:P22314	9606	GO_Central		P
UniProtKB	A0AVT1	UBA6	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0JLT2	MED19	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-9836857		9606	Reactome		C
UniProtKB	A0JLT2	MED19	located_in	GO:0016604	nuclear body	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0PJY2	FEZF1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0PK00	TMEM120B	is_active_in	GO:0005637	nuclear inner membrane	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:3603158|PANTHER:PTN000484631	9606	GO_Central		C
UniProtKB	A0PK00	TMEM120B	located_in	GO:0005637	nuclear inner membrane	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q3TA38	9606	UniProt		C
UniProtKB	A0PK00	TMEM120B	located_in	GO:0005637	nuclear inner membrane	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q3TA38|ensembl:ENSMUSP00000068551|UniProtKB-SubCell:SL-0179	9606	UniProt		C
UniProtKB	A1E959	ODAM	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A1L167	UBE2QL1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A1L190	SYCE3	is_active_in	GO:0000801	central element	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1922709|PANTHER:PTN002195731	9606	GO_Central		C
UniProtKB	A1L190	SYCE3	located_in	GO:0000794	condensed nuclear chromosome	ECO:0005547	NAS	PMID:27142324		9606	ComplexPortal		C
UniProtKB	A1L190	SYCE3	located_in	GO:0000795	synaptonemal complex	ECO:0005547	NAS	PMID:27142324		9606	ComplexPortal		C
UniProtKB	A1L190	SYCE3	located_in	GO:0000801	central element	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:B5KM66	9606	UniProt		C
UniProtKB	A1L190	SYCE3	located_in	GO:0000801	central element	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:B5KM66|ensembl:ENSMUSP00000131766	9606	Ensembl		C
UniProtKB	A1Z1Q3	MACROD2	involved_in	GO:0006974	DNA damage response	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000873835|UniProtKB:A1Z1Q3|UniProtKB:Q9BQ69	9606	GO_Central		P
UniProtKB	A1Z1Q3	MACROD2	involved_in	GO:0006974	DNA damage response	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A1Z1Q3	MACROD2	involved_in	GO:0006974	DNA damage response	ECO:0000315	IMP	PMID:23474712		9606	UniProt		P
UniProtKB	A1Z1Q3	MACROD2	is_active_in	GO:0005654	nucleoplasm	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000873835|UniProtKB:A1Z1Q3|UniProtKB:Q9BQ69	9606	GO_Central		C
UniProtKB	A1Z1Q3	MACROD2	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A1Z1Q3	MACROD2	located_in	GO:0005730	nucleolus	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A2A288	ZC3H12D	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A2RRH5	WDR27	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A2RUB1	MEIOC	involved_in	GO:0006302	double-strand break repair	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2AG06|ensembl:ENSMUSP00000097947	9606	Ensembl		P
UniProtKB	A4D1E9	GTPBP10	located_in	GO:0005730	nucleolus	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0188	9606	UniProt		C
UniProtKB	A4D256	CDC14C	is_active_in	GO:0005730	nucleolus	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000180943|PANTHER:PTN000596949|PomBase:SPAC1782.09c|SGD:S000001924|UniProtKB:O60729|WB:WBGene00000383|ZFIN:ZDB-GENE-040426-820	9606	GO_Central		C
UniProtKB	A4D2B8	PMS2P1	involved_in	GO:0006298	mismatch repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR038973	9606	InterPro		P
UniProtKB	A4GXA9	EME2	involved_in	GO:0006281	DNA repair	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR033310|UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A4GXA9	EME2	involved_in	GO:0006302	double-strand break repair	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001781377|PomBase:SPAPB1E7.06c|UniProtKB:A4GXA9|UniProtKB:Q96AY2	9606	GO_Central		P
UniProtKB	A4GXA9	EME2	involved_in	GO:0006302	double-strand break repair	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027906	9606	UniProt		P
UniProtKB	A4GXA9	EME2	involved_in	GO:0006302	double-strand break repair	ECO:0000314	IDA	PMID:17289582		9606	ComplexPortal		P
UniProtKB	A4GXA9	EME2	involved_in	GO:0006974	DNA damage response	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A4GXA9	EME2	involved_in	GO:0031573	mitotic intra-S DNA damage checkpoint signaling	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001781377|PomBase:SPAPB1E7.06c	9606	GO_Central		P
UniProtKB	A4GXA9	EME2	is_active_in	GO:0043596	nuclear replication fork	ECO:0000315	IMP	PMID:24813886		9606	UniProt		C
UniProtKB	A4GXA9	EME2	located_in	GO:0043596	nuclear replication fork	ECO:0005547	NAS	PMID:17289582		9606	ComplexPortal		C
UniProtKB	A5D8V6	VPS37C	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6H8Y1	BDP1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6H8Y1	BDP1	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-76056		9606	Reactome		C
UniProtKB	A6H8Y1	BDP1	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-83723		9606	Reactome		C
UniProtKB	A6H8Y1	BDP1	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-83790		9606	Reactome		C
UniProtKB	A6H8Y1	BDP1	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-83793		9606	Reactome		C
UniProtKB	A6H8Y1	BDP1	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-83803		9606	Reactome		C
UniProtKB	A6H8Y1	BDP1	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-83805		9606	Reactome		C
UniProtKB	A6NDU8	RIMOC1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6NF01	POM121B	enables	GO:0017056	structural constituent of nuclear pore	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0061200|MGI:MGI:1095411|PANTHER:PTN000573960|RGD:620680|SGD:S000005624|UniProtKB:P49790	9606	GO_Central		F
UniProtKB	A6NF01	POM121B	part_of	GO:0005643	nuclear pore	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0010660|FB:FBgn0061200|PANTHER:PTN000573960|PomBase:SPAC23D3.06c|PomBase:SPAC30D11.04c|RGD:3216|RGD:620680|SGD:S000005624|UniProtKB:P35658|UniProtKB:P49790|WB:WBGene00003793	9606	GO_Central		C
UniProtKB	A6NF01	POM121B	part_of	GO:0005643	nuclear pore	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0185	9606	UniProt		C
UniProtKB	A6NF83	NUPR2	involved_in	GO:0006974	DNA damage response	ECO:0000314	IDA	PMID:25899918		9606	UniProt		P
UniProtKB	A6NFN3	RBFOX3	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6NFY4	NEMP2	is_active_in	GO:0005635	nuclear envelope	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0030768|MGI:MGI:2446113|PANTHER:PTN001006264|UniProtKB:A1L3G9|UniProtKB:B9X187	9606	GO_Central		C
UniProtKB	A6NFY4	NEMP2	located_in	GO:0005637	nuclear inner membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0179	9606	UniProt		C
UniProtKB	A6NGH8	ANKRD61	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6NHQ2	FBLL1	is_active_in	GO:0005730	nucleolus	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000195815|FB:FBgn0003062|JaponicusDB:SJAG_00943|MGI:MGI:95486|PANTHER:PTN000036742|RGD:1305542|SGD:S000002172|UniProtKB:A6NHQ2|UniProtKB:E9QV42|UniProtKB:P22087|WB:WBGene00001423|ZFIN:ZDB-GENE-040426-1936	9606	GO_Central		C
UniProtKB	A6NHQ2	FBLL1	is_active_in	GO:0005730	nucleolus	ECO:0000314	IDA	PMID:39570315		9606	UniProt		C
UniProtKB	A6NHQ2	FBLL1	is_active_in	GO:0015030	Cajal body	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0003062|MGI:MGI:95486|PANTHER:PTN000818345|RGD:1305542|UniProtKB:P22087	9606	GO_Central		C
UniProtKB	A6NHQ2	FBLL1	located_in	GO:0001650	fibrillar center	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6NHQ2	FBLL1	located_in	GO:0001650	fibrillar center	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00089878	9606	UniProt		C
UniProtKB	A6NHQ2	FBLL1	located_in	GO:0005730	nucleolus	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0188	9606	UniProt		C
UniProtKB	A6NHQ2	FBLL1	located_in	GO:0005730	nucleolus	ECO:0000353	IPI	PMID:39570315		9606	ComplexPortal		C
UniProtKB	A6NHQ2	FBLL1	part_of	GO:0032040	small-subunit processome	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000195815|PANTHER:PTN000036741|PomBase:SPBC2D10.10c|SGD:S000002172|UniProtKB:P22087	9606	GO_Central		C
UniProtKB	A6NHQ4	EPOP	colocalizes_with	GO:0035098	ESC/E(Z) complex	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q7TNS8|ensembl:ENSMUSP00000051211	9606	Ensembl		C
UniProtKB	A6NHQ4	EPOP	colocalizes_with	GO:0070449	elongin complex	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q7TNS8|ensembl:ENSMUSP00000051211	9606	Ensembl		C
UniProtKB	A6NHQ4	EPOP	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6NHQ4	EPOP	part_of	GO:0035098	ESC/E(Z) complex	ECO:0005547	NAS	PMID:35800061		9606	ComplexPortal		C
UniProtKB	A6NHR9	SMCHD1	involved_in	GO:0006281	DNA repair	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A6NHR9	SMCHD1	involved_in	GO:0006302	double-strand break repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR038892	9606	InterPro		P
UniProtKB	A6NHR9	SMCHD1	involved_in	GO:0006974	DNA damage response	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A6NHR9	SMCHD1	is_active_in	GO:0001740	Barr body	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1921605|PANTHER:PTN000505246|UniProtKB:A6NHR9	9606	GO_Central		C
UniProtKB	A6NHR9	SMCHD1	located_in	GO:0001740	Barr body	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00089642|UniProtKB:Q6P5D8|ensembl:ENSMUSP00000121835	9606	UniProt		C
UniProtKB	A6NHR9	SMCHD1	located_in	GO:0001740	Barr body	ECO:0000314	IDA	PMID:23542155		9606	UniProt		C
UniProtKB	A6NHR9	SMCHD1	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6NHR9	SMCHD1	located_in	GO:0016604	nuclear body	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A6NKT7	RGPD3	part_of	GO:0005643	nuclear pore	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1351502|PANTHER:PTN004610482|PomBase:SPCC18B5.07c|RGD:1560047|RGD:3191|SGD:S000004327|UniProtKB:P49792|UniProtKB:Q38AA7|WB:WBGene00003795|WB:WBGene00003802	9606	GO_Central		C
UniProtKB	A6NLC8	TAF11L2	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
UniProtKB	A6NLC8	TAF11L2	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A6NLW8	DUXA	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-9817940		9606	Reactome		C
UniProtKB	A6QL63	ABTB3	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A8CG34	POM121C	enables	GO:0017056	structural constituent of nuclear pore	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0061200|MGI:MGI:1095411|PANTHER:PTN000573960|RGD:620680|SGD:S000005624|UniProtKB:P49790	9606	GO_Central		F
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-1176059		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-165043		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-165047		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-170796		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-170825		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-180622		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-192627		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-192925		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-2990880		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-2990882		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-3000348		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-3000399		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-3000411		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-4551649		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-4551679		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-4570493		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-4615872		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-4615987		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-4655355		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-5228508		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-5228523		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-5252041		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-5578744		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-5661474		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-6783483		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-75096		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-75097		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-75098		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-9614367		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-9614369		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0005635	nuclear envelope	ECO:0000304	TAS	Reactome:R-HSA-9708889		9606	Reactome		C
UniProtKB	A8CG34	POM121C	located_in	GO:0031965	nuclear membrane	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0182	9606	UniProt		C
UniProtKB	A8CG34	POM121C	part_of	GO:0005643	nuclear pore	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0010660|FB:FBgn0061200|PANTHER:PTN000573960|PomBase:SPAC23D3.06c|PomBase:SPAC30D11.04c|RGD:3216|RGD:620680|SGD:S000005624|UniProtKB:P35658|UniProtKB:P49790|WB:WBGene00003793	9606	GO_Central		C
UniProtKB	A8CG34	POM121C	part_of	GO:0005643	nuclear pore	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0185	9606	UniProt		C
UniProtKB	A8K830	POU2AF3	located_in	GO:0005654	nucleoplasm	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A8MPP1	DDX11L8	located_in	GO:0005730	nucleolus	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0188	9606	UniProt		C
UniProtKB	A8MQ11	PMS2P5	involved_in	GO:0006298	mismatch repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR038973	9606	InterPro		P
UniProtKB	A8MT33	SYCE1L	is_active_in	GO:0000795	synaptonemal complex	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1921325|PANTHER:PTN002729848|RGD:1559853	9606	GO_Central		C
UniProtKB	A8MT33	SYCE1L	located_in	GO:0000795	synaptonemal complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR026676	9606	InterPro		C
UniProtKB	A8MT69	CENPX	involved_in	GO:0006281	DNA repair	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR018552|UniProtKB-KW:KW-0234	9606	UniProt		P
UniProtKB	A8MT69	CENPX	involved_in	GO:0006974	DNA damage response	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0227	9606	UniProt		P
UniProtKB	A8MT69	CENPX	involved_in	GO:0036297	interstrand cross-link repair	ECO:0000314	IDA	PMID:20347429		9606	ComplexPortal		P
UniProtKB	A8MT69	CENPX	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-606287		9606	Reactome		C
UniProtKB	A8MT69	CENPX	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-606289		9606	Reactome		C
UniProtKB	A8MT69	CENPX	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-606326		9606	Reactome		C
UniProtKB	A8MT69	CENPX	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-606349		9606	Reactome		C
UniProtKB	A8MT69	CENPX	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-6785087		9606	Reactome		C
UniProtKB	A8MT69	CENPX	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-6785126		9606	Reactome		C
UniProtKB	A8MT69	CENPX	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-6785342		9606	Reactome		C
